"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"350",12,0.1,0.1,35,5.58757062146893,1.2,9.10690440677966,9.10848836604069,0.758908700564972,0.759040697170057,0.324293785310734,0.675575367231638,0.000130847457627119,0,0.99980635451505,0.941659945872104,0.282429536481,0.675707363836722,0.0418630996822779,0,0.99980635451505,0.999287826758484,0.999977725669351
"351",12,0.1,0.15,35,5.38154897494305,1.2,8.92372710706151,8.85132112121588,0.743643925588459,0.737610093434656,0.339407744874715,0.660310592255125,0.000281662870159453,0,0.999573620689655,0.911794441611653,0.282429536481,0.654276760101321,0.0632937034176786,0,0.999573620689655,0.998938139785556,0.999877441211587
"352",12,0.1,0.2,35,5.6409666283084,1.2,9.01946743383198,8.59960537726744,0.751622286152665,0.716633781438953,0.331415420023015,0.668288952819332,0.000295627157652474,0,0.999557831325301,0.882562034395734,0.282429536481,0.633300448105618,0.0842700154133817,0,0.999557831325301,0.998915528084915,0.999869135187077
"353",12,0.1,0.25,35,5.44444444444445,1.2,8.81400137457045,8.31050370047457,0.734500114547537,0.692541975039548,0.348224513172967,0.651166781214204,0.000608705612829324,0,0.999066080843585,0.84898790108866,0.282429536481,0.609208641706213,0.108361821812787,0,0.999066080843585,0.998247786289726,0.999565502268818
"354",12,0.1,0.3,35,5.57175660160735,1.2,9.00503053960965,7.98837176676944,0.750419211634138,0.665697647230787,0.331802525832377,0.667085878300804,0.00111159586681975,0,0.998336426116838,0.811577877720204,0.282429536481,0.582364313897453,0.135206149621547,0,0.998336426116838,0.997324423020023,0.999037084808787
"355",12,0.15,0.05,35,7.04843304843304,1.8,10.7759401709402,11.0710058112343,0.897995014245014,0.922583817602855,0.185185185185185,0.814661680911681,0.000153133903133903,0,0.999812062937063,0.97842310610445,0.142241757136172,0.839250484269522,0.0185077585943063,0,0.999812062937063,0.999296943680812,0.999979419842349
"356",12,0.15,0.1,35,7.10198300283285,1.8,10.6867994334278,10.8657140161354,0.890566619452313,0.905476168011281,0.192634560906515,0.80723328611898,0.000132152974504249,0,0.999836315789474,0.958478500810474,0.142241757136172,0.822142834677948,0.0356154081858799,0,0.999836315789474,0.999336104443924,0.999985990593167
"357",12,0.15,0.15,35,7.06518723994452,1.8,10.750347850208,10.6575389161512,0.895862320850671,0.888128243012599,0.187239944521498,0.812528987517337,0.000231067961165049,0,0.999715699658703,0.938253775320502,0.142241757136172,0.804794909679266,0.0529633331845618,0,0.999715699658703,0.999147209781897,0.99994478105724
"358",12,0.15,0.2,35,7.28194444444445,1.8,10.829975,10.4053900358879,0.902497916666667,0.867115836323988,0.180555555555556,0.819164583333334,0.000279861111111111,0,0.999658474576271,0.913756888390617,0.142241757136172,0.783782502990655,0.0739757398731735,0,0.999658474576271,0.999061649187554,0.999919476956733
"359",12,0.15,0.25,35,6.88716502115656,1.8,10.5227142454161,10.1375023913191,0.876892853784674,0.844791865943259,0.205923836389281,0.79355952045134,0.000516643159379408,0,0.999349378330373,0.887730941608462,0.142241757136172,0.761458532609926,0.0962997102539026,0,0.999349378330373,0.998625231321213,0.999749143876312
