"","pool","prevalence","above.llod","limit","tau","tau_relative_var","mode","mode_prev","pos1","n_eff","prevalence_corr","pos_corr","pos_null","total.tests","total.tests_corr","total.tests_null","tests.per.sample","tests.per.sample_corr","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_corr","tn_corr","tp_corr","fn_corr","fp_corr","ppa_null","tn_null","tp_null","fn_null","fp_null"
"12",3,0.1,0.15,35,0.45,1,"none","none",1.98580418302451,2.71284989253132,0.736249644547702,1.20305262089661,1.10641581023936,3.91306836536468,3.78238682824487,3.76081503014245,1.30435612178823,1.26079560941496,1.25360501004748,0.000557981299969865,0.971022788454894,0.0284192302451359,0,0.971564903502756,0.920766789667897,0.000246227498486578,0.927462276081623,0.07229149641989,0,0.920766789667897,0.00053771808377633,0.920271676714151,0.0791906052020721,0
"13",4,0.001,0.15,35,0.15,1,"none","none",1.404959710944,3.70033724734445,0.9938,0.973005213501158,0.953924220478615,4.61519155586395,4.48187331816751,4.41655369662775,1.15379788896599,1.12046832954188,1.10413842415694,0.0310622683144859,0.903797888965987,0.0651398427195269,0,0.9327719,0.896738631472111,0.0293921056500787,0.870468329541876,0.100139564808045,0,0.896738631472111,0.0475057121663639,0.854138424156938,0.0983558636766979,0
"14",4,0.001,0.15,35,0.3,1,"none","none",1.77366441735791,3.00747739490987,0.9972,0.979430550345333,0.953924220478615,4.58577590483557,4.50080497890322,4.42948704316698,1.14644397620889,1.12520124472581,1.10737176079174,0.0664924119168912,0.896443976208892,0.0370636118742165,0,0.9602964,0.900133230973763,0.0280718386273673,0.875201244725806,0.0967269166468266,0,0.900133230973763,0.0475057121663639,0.857371760791744,0.0951225270418919,0
"15",4,0.001,0.15,35,0.45,1,"none","none",2.24825618814034,2.43212454632261,0.9956,1.48273477351171,0.953924220478615,4.74706239454504,4.73716034555789,4.45991542398907,1.18676559863626,1.18429008638947,1.11497885599727,0.0432952390892171,0.936765598636261,0.0199391622745221,0,0.9791585,0.908119730528342,0.0144782010032173,0.934290086389474,0.0512317126073091,0,0.908119730528342,0.0475057121663639,0.864978855997266,0.0875154318363695,0
"16",4,0.01,0.15,35,0.15,1,"none","none",1.44723135586627,3.6572714296021,0.960292535422404,1.0185408898909,1.01020026477702,4.73090631699992,4.60378801455637,4.5958675521788,1.18272657924998,1.15094700363909,1.1489668880447,0.00481355395343609,0.932726579249979,0.0624598667965849,0,0.937238025050773,0.903349916290203,0.00332489499901253,0.900947003639093,0.0957281013618946,0,0.903349916290203,0.00485197171822872,0.898966888044699,0.0961811402370725,0
"17",4,0.01,0.15,35,0.3,1,"none","none",1.90178461368903,3.07847127236581,0.9568679950359,1.08246927239806,1.01020026477702,4.8200436632366,4.60476739766823,4.57988738228958,1.20501091580915,1.15119184941706,1.14497184557239,0.00441732859611616,0.955010915809151,0.040571755594733,0,0.959248230448284,0.899335395476448,0.00238112125561211,0.901191849417057,0.0964270293273305,0,0.899335395476448,0.00485197171822872,0.894971845572394,0.100176182709377,0
"18",4,0.01,0.15,35,0.45,1,"none","none",2.35518627635746,2.63975762885274,0.964827201115167,1.51510360150677,1.01020026477702,4.89397463848596,4.77822233773446,4.59567729429357,1.22349365962149,1.19455558443362,1.14891932357339,0.00545627795427912,0.97349365962149,0.0210500624242309,0,0.978834452465365,0.903302119912222,0.00143032973242806,0.944555584433616,0.0540140858339561,0,0.903302119912222,0.00485197171822872,0.898919323573392,0.0962287047083794,0
"19",4,0.05,0.15,35,0.15,1,"none","none",1.520914570478,3.65658996331609,0.817284169959534,1.11227549980967,1.07725739236073,4.76156354789994,4.66342043359747,4.65232368694898,1.19039088697498,1.16585510839937,1.16308092173724,0.000893796322074002,0.940390886974985,0.0587153167029411,0,0.941232156814964,0.913882792546919,0.000584067772236065,0.915855108399367,0.0835608238283972,0,0.913882792546919,0.000877432878936515,0.913080921737244,0.0860416453838198,0
"20",4,0.05,0.15,35,0.3,1,"none","none",1.97453974400925,3.14990466182426,0.821185460548944,1.36723507123089,1.07725739236073,4.85094937866649,4.7010716468769,4.64057301717597,1.21273734466662,1.17526791171922,1.16014325429399,0.00091763445522368,0.962737344666622,0.036345020878154,0,0.963621597045869,0.910942545234004,0.000379418063925158,0.925267911719224,0.0743526702168513,0,0.910942545234004,0.000877432878936515,0.910143254293993,0.0889793128270701,0
"21",4,0.05,0.15,35,0.45,1,"none","none",2.44032232063512,2.77916228447456,0.818607741445189,1.59624157309594,1.07725739236073,4.91666248455494,4.79594044299876,4.63421057342808,1.22916562113874,1.19898511074969,1.15855264335702,0.000901768965120649,0.979165621138736,0.0199326098961439,0,0.980049399271283,0.909350537417029,0.000243432381264637,0.948985110749689,0.0507714568690461,0,0.909350537417029,0.000877432878936515,0.90855264335702,0.0905699237640429,0
