"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"68",2,0.15,0.1,35,0.3,1.528576,0.764288,0.7225,0.264288,0.013212,0,0.952389189189189,0.952389189189189,0.948031929044246,0.956480481713816
"69",2,0.15,0.15,35,0.3,1.522462,0.761231,0.7225,0.261231,0.016269,0,0.941372972972973,0.941372972972973,0.93658848091907,0.945898349029062
"70",2,0.15,0.2,35,0.3,1.5026695,0.75133475,0.7225,0.25133475,0.02616525,0,0.905710810810811,0.905710810810811,0.899814425300021,0.911369672509724
"71",2,0.15,0.25,35,0.3,1.482226,0.741113,0.7225,0.241113,0.036387,0,0.868875675675676,0.868875675675676,0.862102573884392,0.875433147724056
"72",2,0.15,0.3,35,0.3,1.463332,0.731666,0.7225,0.231666,0.045834,0,0.834832432432432,0.834832432432433,0.827407198906586,0.842062111971096
"73",3,0.001,0.05,35,0.003,1.0087233238468,0.336241107948934,0.997002999,0.0029077746156,8.92263844e-05,0,0.970228109900531,0.970228109900531,0.966707003234584,0.973471684292538
"74",3,0.001,0.1,35,0.003,1.0084412608909,0.336147086963634,0.997002999,0.0028137536303,0.0001832473697,0,0.938856420234761,0.938856420234761,0.933981250618516,0.943474021667625
"75",3,0.001,0.15,35,0.003,1.0082337414175,0.336077913805834,0.997002999,0.0027445804725,0.0002524205275,0,0.915775627869327,0.915775627869327,0.910160438767101,0.921147256579888
"76",3,0.001,0.2,35,0.003,1.0078986315577,0.335966210519234,0.997002999,0.0026328771859,0.0003641238141,0,0.878503939738425,0.878503939738425,0.871940247720769,0.884846301496349
"77",3,0.001,0.25,35,0.003,1.0075365370018,0.335845512333934,0.997002999,0.0025121790006,0.0004848219994,0,0.838230951741424,0.838230951741424,0.83086531964866,0.845399030117662
"78",3,0.001,0.3,35,0.003,1.0070594340658,0.335686478021934,0.997002999,0.0023531446886,0.0006438563114,0,0.785166467612123,0.785166467612123,0.776984296846682,0.79318223427248
"79",3,0.01,0.05,35,0.03,1.0868346916,0.362278230533333,0.970299,0.0289448972,0.0007561028,0,0.974542850409077,0.974542850409077,0.971264049963312,0.977541147694401
"80",3,0.01,0.1,35,0.03,1.0834193074,0.361139769133333,0.970299,0.0278064358,0.0018945642,0,0.936212107336453,0.936212107336453,0.93124408149599,0.940924185903951
"81",3,0.01,0.15,35,0.03,1.081386046,0.360462015333333,0.970299,0.027128682,0.002572318,0,0.913392882394532,0.913392882394532,0.907709162576252,0.918834473895586
"82",3,0.01,0.2,35,0.03,1.0781193679,0.359373122633333,0.970299,0.0260397893,0.0036612107,0,0.876731062927174,0.876731062927174,0.870127871905613,0.883113974294971
"83",3,0.01,0.25,35,0.03,1.0748076856,0.358269228533333,0.970299,0.0249358952,0.0047651048,0,0.839564162822801,0.839564162822801,0.832222219590529,0.846707767634156
"84",3,0.01,0.3,35,0.03,1.0711564429,0.357052147633333,0.970299,0.0237188143,0.0059821857,0,0.798586387663715,0.798586387663715,0.790589376845839,0.806409129371667
"85",3,0.03,0.05,35,0.09,1.255597417,0.418532472333333,0.912673,0.085199139,0.002127861,0,0.975633412346697,0.975633412346697,0.972419330550867,0.978566221287129
"86",3,0.03,0.1,35,0.09,1.245354238,0.415118079333333,0.912673,0.081784746,0.005542254,0,0.93653447387406,0.93653447387406,0.931577639877996,0.941235163274782
"87",3,0.03,0.15,35,0.09,1.2398139487,0.413271316233333,0.912673,0.0799379829,0.0073890171,0,0.915386797897557,0.915386797897557,0.909760338321256,0.920769930913994
"88",3,0.03,0.2,35,0.09,1.2304142038,0.410138067933333,0.912673,0.0768047346,0.0105222654,0,0.879507307018448,0.879507307018448,0.87296616461622,0.885826524361081
"89",3,0.03,0.25,35,0.09,1.2212065639,0.407068854633333,0.912673,0.0737355213,0.0135914787,0,0.844361094506853,0.844361094506853,0.837105853628903,0.851415172463055
"90",3,0.03,0.3,35,0.09,1.209483334,0.403161111333333,0.912673,0.069827778,0.017499222,0,0.799612697103988,0.799612697103988,0.791630397000569,0.807420126313247
"91",3,0.05,0.05,35,0.15,1.4147293,0.471576433333333,0.857375,0.1382431,0.0043819,0,0.969276774758983,0.969276774758983,0.965704883401955,0.972571775681147
"92",3,0.05,0.1,35,0.15,1.400653675,0.466884558333333,0.857375,0.133551225,0.00907377500000001,0,0.936380192813322,0.936380192813322,0.931417998163715,0.941086337313344
"93",3,0.05,0.15,35,0.15,1.3932362875,0.464412095833333,0.857375,0.1310787625,0.0115462375,0,0.919044785276074,0.919044785276073,0.913525742094065,0.924318299838177
"94",3,0.05,0.2,35,0.15,1.3772962,0.459098733333333,0.857375,0.1257654,0.0168596,0,0.881790709903593,0.881790709903593,0.875301419457752,0.888056721108737
"95",3,0.05,0.25,35,0.15,1.361944075,0.453981358333333,0.857375,0.120648025,0.021976975,0,0.845910780017528,0.845910780017529,0.838684050177026,0.852935434072449
"96",3,0.05,0.3,35,0.15,1.339873825,0.446624608333333,0.857375,0.113291275,0.029333725,0,0.794329710780017,0.794329710780017,0.786272534918496,0.802215113000628
"97",3,0.1,0.05,35,0.3,1.7896387,0.596546233333333,0.729,0.2632129,0.0077871,0,0.971265313653137,0.971265313653137,0.967800602382182,0.974451787956274
"98",3,0.1,0.1,35,0.3,1.7688043,0.589601433333333,0.729,0.2562681,0.0147319,0,0.945638745387454,0.945638745387454,0.941013497734831,0.950002240107764
"99",3,0.1,0.15,35,0.3,1.7501968,0.583398933333333,0.729,0.2500656,0.0209344,0,0.922751291512915,0.922751291512915,0.917344382496694,0.927910435139098
"100",3,0.1,0.2,35,0.3,1.7221249,0.574041633333333,0.729,0.2407083,0.0302917,0,0.888222509225092,0.888222509225092,0.881883414220019,0.894334506015662
"101",3,0.1,0.25,35,0.3,1.6920679,0.564022633333333,0.729,0.2306893,0.0403107,0,0.851252029520295,0.851252029520295,0.844125502042901,0.858173333331958
"102",3,0.1,0.3,35,0.3,1.6594924,0.553164133333333,0.729,0.2198308,0.0511692,0,0.811183763837638,0.811183763837638,0.803372997002667,0.818812871754313
"103",3,0.15,0.05,35,0.45,2.1282824125,0.709427470833333,0.614125,0.3760941375,0.0097808625,0,0.9746527696793,0.9746527696793,0.971380423478866,0.977644535533542
"104",3,0.15,0.1,35,0.45,2.09446255,0.698154183333333,0.614125,0.36482085,0.02105415,0,0.945437900874636,0.945437900874636,0.940804990642337,0.949809182739785
"105",3,0.15,0.15,35,0.45,2.0724673375,0.690822445833333,0.614125,0.3574891125,0.0283858875,0,0.926437609329446,0.926437609329446,0.921145728199888,0.931479494319053
"106",3,0.15,0.2,35,0.45,2.035692325,0.678564108333333,0.614125,0.345230775,0.040644225,0,0.894669970845481,0.894669970845481,0.888487939079089,0.900621068563895
"107",3,0.15,0.25,35,0.45,1.9972514125,0.665750470833333,0.614125,0.3324171375,0.0534578625,0,0.861463265306122,0.861463265306122,0.854537054065114,0.86817822753391
"108",3,0.15,0.3,35,0.45,1.953606925,0.651202308333333,0.614125,0.317868975,0.068006025,0,0.823761516034985,0.823761516034985,0.816149649534009,0.83118433747639
"109",4,0.001,0.05,35,0.004,1.01540168956773,0.253850422391932,0.996005996001,0.00385042239193231,0.0001435816070677,0,0.964050710238736,0.964050710238736,0.960214239117247,0.967613752817447
"110",4,0.001,0.1,35,0.004,1.01487997615058,0.253719994037645,0.996005996001,0.00371999403764551,0.0002740099613545,0,0.931394670254936,0.931394670254936,0.926263412450451,0.936272921088324
"111",4,0.001,0.15,35,0.004,1.01445870074608,0.253614675186521,0.996005996001,0.00361467518652081,0.0003793288124792,0,0.90502542997599,0.90502542997599,0.899110652732485,0.91070309336913
"112",4,0.001,0.2,35,0.004,1.01375818545858,0.253439546364645,0.996005996001,0.00343954636464561,0.000554457634354401,0,0.861177496443864,0.861177496443864,0.854245515931126,0.867898396709788
"113",4,0.001,0.25,35,0.004,1.01318523857259,0.253296309643147,0.996005996001,0.00329630964314721,0.000697694355852801,0,0.825314557514843,0.825314557514843,0.817728198729829,0.832710958621638
"114",4,0.001,0.3,35,0.004,1.01242694376484,0.253106735941209,0.996005996001,0.0031067359412096,0.000887268057790401,0,0.777849982620811,0.777849982620811,0.769572284666924,0.785965561666906
"115",4,0.01,0.05,35,0.04,1.151851083852,0.287962770963,0.96059601,0.037962770963,0.001441219037,0,0.963424540585865,0.963424540585865,0.959557849043602,0.967018212247141
"116",4,0.01,0.1,35,0.04,1.147032513884,0.286758128471,0.96059601,0.036758128471,0.002645861529,0,0.932852954002881,0.932852954002881,0.92777033348177,0.937681679097186
"117",4,0.01,0.15,35,0.04,1.141720424948,0.285430106237,0.96059601,0.035430106237,0.003973883763,0,0.899150218975287,0.899150218975287,0.893081438761612,0.904985394596223
"118",4,0.01,0.2,35,0.04,1.136919941852,0.284229985463,0.96059601,0.034229985463,0.005174004537,0,0.868693385187642,0.868693385187642,0.861916436142067,0.875254812300902
"119",4,0.01,0.25,35,0.04,1.130430512416,0.282607628104,0.96059601,0.032607628104,0.006796361896,0,0.827520971962484,0.827520971962484,0.819971223656282,0.834879465778354
"120",4,0.01,0.3,35,0.04,1.122496060672,0.280624015168,0.96059601,0.030624015168,0.008779974832,0,0.777180563897209,0.777180563897209,0.768894309941113,0.78530509092827
"121",4,0.03,0.05,35,0.12,1.443234049048,0.360808512262,0.88529281,0.110808512262,0.003898677738,0,0.966011914876478,0.966011914876478,0.96227205201872,0.969477061417745
"122",4,0.03,0.1,35,0.12,1.427835897472,0.356958974368,0.88529281,0.106958974368,0.007748215632,0,0.932452223509267,0.932452223509267,0.927356172388132,0.937294623479836
"123",4,0.03,0.15,35,0.12,1.416392978968,0.354098244742,0.88529281,0.104098244742,0.010608945258,0,0.907512813643155,0.907512813643155,0.901665225468831,0.913121799509681
"124",4,0.03,0.2,35,0.12,1.397571254032,0.349392813508,0.88529281,0.0993928135079999,0.015314376492,0,0.866491573091451,0.866491573091451,0.859668486000084,0.873100440134093
"125",4,0.03,0.25,35,0.12,1.380253624672,0.345063406168,0.88529281,0.0950634061679999,0.019643783832,0,0.828748452193799,0.828748452193799,0.821219262100389,0.836085666219772
"126",4,0.03,0.3,35,0.12,1.360773652876,0.340193413219,0.88529281,0.090193413219,0.024513776781,0,0.786292587404503,0.786292587404503,0.778125452327555,0.794292658653365
"127",4,0.05,0.05,35,0.2,1.7183881125,0.429597028125,0.81450625,0.179597028125,0.005896721875,0,0.968210670844705,0.968210670844705,0.964582887922909,0.971562277879674
"128",4,0.05,0.1,35,0.2,1.6932206125,0.423305153125,0.81450625,0.173305153125,0.012188596875,0,0.934291064388962,0.934291064388962,0.929257058060922,0.939070297795996
"129",4,0.05,0.15,35,0.2,1.676964295,0.41924107375,0.81450625,0.16924107375,0.01625267625,0,0.912381542504801,0.912381542504801,0.906669115487338,0.917852448446574
"130",4,0.05,0.2,35,0.2,1.6463628825,0.411590720625,0.81450625,0.161590720625,0.023903029375,0,0.871138357087503,0.871138357087503,0.864413363858765,0.877646382030736
"131",4,0.05,0.25,35,0.2,1.62037739,0.4050943475,0.81450625,0.1550943475,0.0303994025,0,0.836116297718926,0.836116297718926,0.828713448640342,0.843322837464676
"132",4,0.05,0.3,35,0.2,1.587958325,0.39698958125,0.81450625,0.14698958125,0.03850416875,0,0.792423363320866,0.792423363320866,0.784339680133983,0.800336390223553
"133",4,0.1,0.05,35,0.4,2.33426476,0.58356619,0.6561,0.33356619,0.01033381,0,0.969951119511486,0.969951119511486,0.966415135375862,0.973209758680428
"134",4,0.1,0.1,35,0.4,2.29202164,0.57300541,0.6561,0.32300541,0.02089459,0,0.93924225065426,0.93924225065426,0.934380833987584,0.943845862175082
"135",4,0.1,0.15,35,0.4,2.26294284,0.56573571,0.6561,0.31573571,0.02816429,0,0.918103256760686,0.918103256760686,0.912556265163789,0.923405287016873
"136",4,0.1,0.2,35,0.4,2.20633844,0.55158461,0.6561,0.30158461,0.04231539,0,0.876954376272172,0.876954376272172,0.870356136580273,0.883332203999939
"137",4,0.1,0.25,35,0.4,2.16577128,0.54144282,0.6561,0.29144282,0.05245718,0,0.847463855772027,0.847463855772027,0.840265950017564,0.854458770682173
"138",4,0.1,0.3,35,0.4,2.11186172,0.52796543,0.6561,0.27796543,0.06593457,0,0.808274004070951,0.808274004070951,0.800419101735753,0.815948955047084
"139",4,0.15,0.05,35,0.599999999999999,2.857136995,0.714284248749999,0.52200625,0.46428424875,0.01370950125,0,0.97131866002432,0.971318660024321,0.967856879276808,0.974502167412653
"140",4,0.15,0.1,35,0.599999999999999,2.802794815,0.700698703749999,0.52200625,0.45069870375,0.02729504625,0,0.942896646138155,0.942896646138155,0.938168207789705,0.947365028638918
"141",4,0.15,0.15,35,0.599999999999999,2.758174915,0.689543728749999,0.52200625,0.43954372875,0.03845002125,0,0.919559573216177,0.919559573216177,0.914055901194875,0.92481740630314
"142",4,0.15,0.2,35,0.599999999999999,2.6978510575,0.674462764374999,0.52200625,0.424462764375,0.053530985625,0,0.888009026007139,0.888009026007139,0.881664844497397,0.894126236176068
"143",4,0.15,0.25,35,0.599999999999999,2.6416126,0.660403149999999,0.52200625,0.41040315,0.0675906,0,0.858595222217864,0.858595222217864,0.851611544764127,0.865369344048983
"144",4,0.15,0.3,35,0.599999999999999,2.5600276825,0.640006920624999,0.52200625,0.390006920625,0.087986829375,0,0.815924728356804,0.815924728356804,0.808187360065136,0.823477654645958
"145",5,0.001,0.05,35,0.00500000000000001,1.0240012096884,0.20480024193768,0.995009990004999,0.00480024193767984,0.000189768057321164,0,0.96197040536767,0.96197040536767,0.958034638737367,0.965634096891272
"146",5,0.001,0.1,35,0.00500000000000001,1.0230572746266,0.204611454925321,0.995009990004999,0.00461145492532069,0.000378555069680317,0,0.924137412538341,0.924137412538341,0.918773333537076,0.929252888108657
"147",5,0.001,0.15,35,0.00500000000000001,1.02235483109381,0.204470966218762,0.995009990004999,0.00447096621876208,0.000519043776238922,0,0.895983419520422,0.895983419520422,0.889834228442147,0.901900894100347
"148",5,0.001,0.2,35,0.00500000000000001,1.02132592641149,0.204265185282298,0.995009990004999,0.00426518528229747,0.000724824712703535,0,0.854744837499391,0.854744837499391,0.847685503600912,0.861596887866785
"149",5,0.001,0.25,35,0.00500000000000001,1.02030407787816,0.204060815575632,0.995009990004999,0.00406081557563142,0.000929194419369589,0,0.813789066494765,0.813789066494765,0.806018403655539,0.821376541169202
"150",5,0.001,0.3,35,0.00500000000000001,1.01900844711166,0.203801689422332,0.995009990004999,0.00380168942233225,0.00118832057266875,0,0.761860081671337,0.761860081671337,0.753386149799541,0.770181253876927
"151",5,0.01,0.05,35,0.05,1.2346396452285,0.2469279290457,0.9509900499,0.0469279290457,0.0020820210543,0,0.957518400854279,0.957518400854279,0.953380009833752,0.961387577136954
"152",5,0.01,0.1,35,0.05,1.2259430733885,0.2451886146777,0.9509900499,0.0451886146777,0.0038213354223,0,0.922029395775696,0.922029395775696,0.916600377137339,0.927211085131945
"153",5,0.01,0.15,35,0.05,1.2192469419547,0.24384938839094,0.9509900499,0.04384938839094,0.00516056170906,0,0.894703795891847,0.894703795891847,0.88852260618464,0.900654031405349
"154",5,0.01,0.2,35,0.05,1.2082882867168,0.24165765734336,0.9509900499,0.04165765734336,0.00735229275664,0,0.849983671853606,0.849983671853606,0.84283307423539,0.856929793539416
"155",5,0.01,0.25,35,0.05,1.1995052304071,0.23990104608142,0.9509900499,0.03990104608142,0.00910890401858,0,0.814141740605853,0.814141740605853,0.806376549653143,0.821723536356613
"156",5,0.01,0.3,35,0.05,1.1884179196942,0.23768358393884,0.9509900499,0.03768358393884,0.01132636616116,0,0.768896598791681,0.768896598791681,0.760506955624414,0.777129364599882
"157",5,0.03,0.05,35,0.15,1.68046068103075,0.33609213620615,0.8587340257,0.13609213620615,0.00517383809385,0,0.963375199728828,0.963375199728828,0.959506139278133,0.966971272451937
"158",5,0.03,0.1,35,0.15,1.65507394724575,0.33101478944915,0.8587340257,0.13101478944915,0.01025118485085,0,0.927433446718882,0.927433446718882,0.922173270267866,0.932443023252017
"159",5,0.03,0.15,35,0.15,1.63407596581435,0.32681519316287,0.8587340257,0.12681519316287,0.01445078113713,0,0.897705153638472,0.897705153638472,0.891599462029855,0.903578102505052
"160",5,0.03,0.2,35,0.15,1.6076570858146,0.32153141716292,0.8587340257,0.12153141716292,0.01973455713708,0,0.860302119920465,0.860302119920466,0.85335252686792,0.867041149643118
"161",5,0.03,0.25,35,0.15,1.58146171738585,0.31629234347717,0.8587340257,0.11629234347717,0.02497363082283,0,0.823215526976123,0.823215526976124,0.815594743789272,0.830647585910853
"162",5,0.03,0.3,35,0.15,1.54531827704665,0.30906365540933,0.8587340257,0.10906365540933,0.03220231889067,0,0.772044761307607,0.772044761307607,0.763693871320591,0.780236931199549
"163",5,0.05,0.05,35,0.25,2.090186100625,0.418037220125,0.7737809375,0.218037220125,0.008181842375,0,0.963832215178595,0.963832215178595,0.959985165638876,0.967405978904009
"164",5,0.05,0.1,35,0.25,2.05041178265625,0.41008235653125,0.7737809375,0.21008235653125,0.01613670596875,0,0.928667788689337,0.928667788689337,0.92344729646487,0.9336369318849
"165",5,0.05,0.15,35,0.25,2.02609783890625,0.40521956778125,0.7737809375,0.20521956778125,0.02099949471875,0,0.907171860378698,0.907171860378698,0.901314989752995,0.91279033282743
