"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"131",7,5,0.001,4.46658237761341e-05,3.94315475523684e-05,2.09580210000001e-14
"132",7,6,0.001,2.79161398600838e-06,2.51245258740754e-06,6.99300000000003e-18
"133",7,7,0.001,0,0,1e-21
"134",7,0,0.01,0.93206534790699,0.93206534790699,0.93206534790699
"135",7,1,0.01,0.0240760407017628,0.025648727897716,0.06590361045807
"136",7,2,0.01,0.0278939681493899,0.0270780729777529,0.00199707910479
"137",7,3,0.01,0.0125339433111604,0.0119972595596256,3.362086035e-05
"138",7,4,0.01,0.00301629855292965,0.00280230439883667,3.39604650000001e-07
"139",7,5,0.01,0.000366847121302254,0.000383830784325507,2.05821000000001e-09
"140",7,6,0.01,4.75542564651071e-05,2.44564747534836e-05,6.93000000000001e-12
"141",7,7,0.01,0,0,1.00000000000001e-14
"142",7,0,0.03,0.80798284478113,0.80798284478113,0.80798284478113
"143",7,1,0.03,0.0606006141870754,0.0724960769528844,0.17492412103509
"144",7,2,0.03,0.0756163557251911,0.0765361178986895,0.01623007308573
"145",7,3,0.03,0.0416677226824948,0.0339102296116525,0.00083660170545
"146",7,4,0.03,0.0125387202357922,0.0079207076527784,2.58742795499999e-05
"147",7,5,0.03,0.00149773381070719,0.00108489692698662,4.8014127e-07
"148",7,6,0.03,9.60085776094351e-05,6.91261758787933e-05,4.94991e-09
"149",7,7,0.03,0,0,2.187e-11
"150",7,0,0.05,0.69833729609375,0.69833729609375,0.69833729609375
"151",7,1,0.05,0.0850990487719532,0.113892753859805,0.25728216171875
"152",7,2,0.05,0.11728645927875,0.120239737149992,0.04062349921875
"153",7,3,0.05,0.0720370536928125,0.0532736335098438,0.00356346484375
"154",7,4,0.05,0.0227453678745313,0.0124435865361328,0.00018755078125
"155",7,5,0.05,0.0039819476915625,0.00170439427707031,5.92265625e-06
"156",7,6,0.05,0.000512826596640625,0.00010859857340625,1.0390625e-07
"157",7,7,0.05,0,0,7.8125e-10
"158",7,0,0.1,0.4782969,0.4782969,0.4782969
"159",7,1,0.1,0.1048623231,0.196969005405,0.3720087
"160",7,2,0.1,0.19000426902,0.207945638629,0.1240029
"161",7,3,0.1,0.15030266311,0.09213276746,0.0229635
"162",7,4,0.1,0.06140445487,0.021520252875,0.0025515
"163",7,5,0.1,0.01366862122,0.002947622515,0.0001701
"164",7,6,0.1,0.00135642806,0.000187813116,6.30000000000001e-06
"165",7,7,0.1,0.00010434062,0,1e-07
"166",8,0,0.001,0.992027944069944,0.992027944069944,0.992027944069944
"167",8,1,0.001,0.00251438644033967,0.0025767279177127,0.00794416772027983
"168",8,2,0.001,0.00316729782101125,0.00315565861935337,2.78324194404199e-05
"169",8,3,0.001,0.00171080320259002,0.0016658408071445,5.572055944028e-08
"170",8,4,0.001,0.000479917766989372,0.000483664633276498,6.97204197200702e-11
"171",8,5,0.001,9.08814376026385e-05,8.16338527237735e-05,5.58321679439999e-14
"172",8,6,0.001,7.97205593005601e-06,7.89233537075545e-06,2.79440280000001e-17
"173",8,7,0.001,7.97205593005601e-07,5.58043915103921e-07,7.99200000000001e-21
"174",8,8,0.001,0,7.97205593005601e-08,1e-24
"175",8,0,0.01,0.92274469442792,0.92274469442792,0.92274469442792
"176",8,1,0.01,0.0233542788744398,0.0249704598670077,0.0745652278325592
"177",8,2,0.01,0.0299905096230814,0.0305807401576521,0.0026361444183228
"178",8,3,0.01,0.0173592671620464,0.0161432686523418,5.32554427943999e-05
"179",8,4,0.01,0.00545422457338884,0.00468707938905809,6.72417206999999e-07
"180",8,5,0.01,0.000988867911322623,0.000791094329058099,5.43367440000001e-09
