"","pool","prevalence","above.llod","limit","pos_real","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn_real","tp_real","fn_real","fp_real","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"172",12,0.05,0.05,35,1.61770875162062,0.6,12.5944563265167,6.28312164271121,1.04953802720972,0.523593470225934,0.000115989234183097,0.966204693876392,0.0336793168894255,0,0.966316776219243,0.957837048253246,0.540360087662637,0.440260136892601,0.0193797754447624,0,0.966316776219243,0.962592207775984,0.969766427027636
"173",12,0.05,0.1,35,1.61389126101854,0.6,12.1955391871562,6.05412533437337,1.01629493226302,0.504510444531114,0.000158675477972232,0.932961598929684,0.0668797255923438,0,0.933109660551072,0.916319710044346,0.540360087662637,0.421177111197781,0.0384628011395819,0,0.933109660551073,0.928035669925167,0.937929599213918
"174",12,0.05,0.15,35,1.68702128497278,0.6,11.9692875460243,5.8768137096685,0.997440628835357,0.489734475805709,0.000110626359009294,0.914107295502024,0.0857820781389664,0,0.914208431052127,0.88417287438278,0.540360087662637,0.406401142472375,0.0532387698649879,0,0.914208431052127,0.908548024498659,0.919626219352935
"175",12,0.1,0.05,35,1.86892037223231,1.2,12.6536809802986,9.3332846763778,1.05447341502489,0.777773723031483,4.41670535189841e-05,0.971140081691552,0.0288157512549288,0,0.971182975982029,0.967766128907507,0.282429536481,0.694440389698148,0.0231300738208521,0,0.971182975982029,0.96771374742541,0.974374023710243
"176",12,0.1,0.1,35,1.95502324661359,1.2,12.3996188502615,9.08086959775673,1.03330157085513,0.756739133146394,3.93186282385415e-05,0.949968237521796,0.0499924438499659,0,0.95000559043843,0.938452506128311,0.282429536481,0.673405799813059,0.0441646637059407,0,0.95000559043843,0.945551287784672,0.954195420368149
"177",12,0.1,0.15,35,2.06437341396967,1.2,12.2579333430161,8.89508301670256,1.02149444525134,0.741256918058546,2.67814724838333e-05,0.938161111918006,0.0618121066095101,0,0.938186237926922,0.916876624908337,0.282429536481,0.657923584725211,0.0596468787937886,0,0.938186237926922,0.933287305159416,0.942828013828289
"178",12,0.15,0.05,35,1.9928420434132,1.8,12.7013393944189,11.0726510255555,1.05844494953491,0.922720918796294,3.30994652413355e-05,0.975111616201578,0.0248552843331803,0,0.975143892942968,0.97858294274208,0.142241757136172,0.839387585462961,0.0183706574008671,0,0.975143892942968,0.97190057125929,0.97810628835327
"179",12,0.15,0.1,35,2.37502409970555,1.8,12.5867392894975,10.8661716766556,1.04889494079146,0.905514306387967,1.39502537548671e-05,0.965561607458123,0.0344244422881218,0,0.965575077475473,0.95852296366117,0.142241757136172,0.822180973054634,0.035577269809194,0,0.965575077475474,0.961813431872206,0.969062294678647
"180",12,0.15,0.15,35,2.58365487714069,1.8,12.4755877567423,10.6354053019198,1.03963231306186,0.886283775159984,8.41259017349033e-06,0.956298979728524,0.0436926076813029,0,0.956307024747603,0.936103439992383,0.142241757136172,0.802950441826651,0.0548078010371771,0,0.956307024747603,0.952115623123816,0.960229982680731
"181",13,0.001,0.05,35,1.26951371385068,0.013,13.314816668171,1.15828437623813,1.02421666678238,0.089098798172164,0.00624435654895053,0.947293589859304,0.046462053591745,0,0.953245997748104,0.942226624729402,0.987077714713715,0.012175721249087,0.000746564037198292,0,0.953245997748104,0.948924312849883,0.957301175652781
