"","pool","pos","prevalence","prob_sim_real"
"292",10,10,0.01,0
"293",10,0,0.03,0.538927079086883
"294",10,1,0.03,0.286078932180687
"295",10,2,0.03,0.12088262509572
"296",10,3,0.03,0.0411963547200783
"297",10,4,0.03,0.0109750915910686
"298",10,5,0.03,0.00167463345706932
"299",10,6,0.03,0.000233226798570897
"300",10,7,0.03,2.95017962335696e-05
"301",10,8,0.03,2.32297608138344e-06
"302",10,9,0.03,2.32297608138344e-07
"303",10,10,0.03,0
"304",10,0,0.05,0.359324723495248
"305",10,1,0.05,0.333045195018863
"306",10,2,0.05,0.194435287748782
"307",10,3,0.05,0.0854337207995816
"308",10,4,0.05,0.0233640976949664
"309",10,5,0.05,0.00398597737934054
"310",10,6,0.05,0.000392280692977556
"311",10,7,0.05,1.87171702414739e-05
"312",10,8,0.05,0
"313",10,9,0.05,0
"314",10,10,0.05,0
"315",10,0,0.1,0.114558019760044
"316",10,1,0.1,0.259013667380759
"317",10,2,0.1,0.298184671758289
"318",10,3,0.1,0.204688736246264
"319",10,4,0.1,0.0927397300599064
"320",10,5,0.1,0.0252743651835306
"321",10,6,0.1,0.00492030787938916
"322",10,7,0.1,0.000581104796464827
"323",10,8,0.1,3.93969353535476e-05
"324",10,9,0.1,0
"325",10,10,0.1,0
"326",11,0,0.001,0.974445937417357
"327",11,1,0.001,0.0206790050557176
"328",11,2,0.001,0.0038524621293606
"329",11,3,0.001,0.00088301287349177
"330",11,4,0.001,0.000137562966128952
"331",11,5,0.001,2.01955794429856e-06
"332",11,6,0.001,0
"333",11,7,0.001,0
"334",11,8,0.001,0
"335",11,9,0.001,0
"336",11,10,0.001,0
"337",11,11,0.001,0
"338",11,0,0.01,0.759484245652238
"339",11,1,0.01,0.168765411283037
"340",11,2,0.01,0.0523749669287929
"341",11,3,0.01,0.0165163261354661
"342",11,4,0.01,0.00265558147069453
"343",11,5,0.01,0.000197613320281357
"344",11,6,0.01,5.85520948981798e-06
"345",11,7,0.01,0
"346",11,8,0.01,0
"347",11,9,0.01,0
"348",11,10,0.01,0
"349",11,11,0.01,0
"350",11,0,0.03,0.512604657892471
"351",11,1,0.03,0.27446031333458
"352",11,2,0.03,0.138465762586734
"353",11,3,0.03,0.056129972733042
"354",11,4,0.03,0.0153614998834264
"355",11,5,0.03,0.00257207311814648
"356",11,6,0.03,0.000351436122035385
"357",11,7,0.03,4.89500312835001e-05
"358",11,8,0.03,5.02051602907693e-06
"359",11,9,0.03,3.13782251817308e-07
"360",11,10,0.03,0
"361",11,11,0.03,0
"362",11,0,0.05,0.330387251218267
"363",11,1,0.05,0.318955543780955
"364",11,2,0.05,0.201006535626846
"365",11,3,0.05,0.101637911928276
"366",11,4,0.05,0.0365341188602156
"367",11,5,0.05,0.00949309457854768
"368",11,6,0.05,0.0017496263940177
"369",11,7,0.05,0.000221340589640038
"370",11,8,0.05,1.45770232345259e-05
"371",11,9,0.05,0
"372",11,10,0.05,0
"373",11,11,0.05,0
"374",11,0,0.1,0.0491578422521383
"375",11,1,0.1,0.159408826580899
"376",11,2,0.1,0.258432962897226
"377",11,3,0.1,0.257825156605775
"378",11,4,0.1,0.170786407126723
"379",11,5,0.1,0.0764695887122794
"380",11,6,0.1,0.0228851763100681
"381",11,7,0.1,0.00447607767602547
"382",11,8,0.1,0.000527368630991447
"383",11,9,0.1,3.05932078751944e-05
"384",11,10,0.1,0
"385",11,11,0.1,0
"386",12,0,0.001,0.984274364382633
"387",12,1,0.001,0.0103275556134284
"388",12,2,0.001,0.00376112050562095
"389",12,3,0.001,0.00138413210963304
"390",12,4,0.001,0.000212457194965305
"391",12,5,0.001,3.04097339021907e-05
"392",12,6,0.001,9.90175376737998e-06
"393",12,7,0.001,5.87060500042291e-08
"394",12,8,0.001,0
"395",12,9,0.001,0
"396",12,10,0.001,0
"397",12,11,0.001,0
"398",12,12,0.001,0
"399",12,0,0.01,0.792047968862572
"400",12,1,0.01,0.132680996388225
"401",12,2,0.01,0.0512454278164796
"402",12,3,0.01,0.0190174625933164
"403",12,4,0.01,0.00423476907203936
"404",12,5,0.01,0.000705620818502052
"405",12,6,0.01,6.28816974067926e-05
"406",12,7,0.01,4.5246977838836e-06
"407",12,8,0.01,3.48053675683354e-07
"408",12,9,0.01,0
"409",12,10,0.01,0
"410",12,11,0.01,0
"411",12,12,0.01,0
"412",12,0,0.03,0.497012743180486
"413",12,1,0.03,0.270367700765186
"414",12,2,0.03,0.145820231956551
"415",12,3,0.03,0.0629661367690918
"416",12,4,0.03,0.0191792924254964
"417",12,5,0.03,0.00403511648839511
"418",12,6,0.03,0.000568254305695484
"419",12,7,0.03,4.88210492405711e-05
"420",12,8,0.03,1.70305985722922e-06
"421",12,9,0.03,0
"422",12,10,0.03,0
"423",12,11,0.03,0
"424",12,12,0.03,0
"425",12,0,0.05,0.293684128945813
"426",12,1,0.05,0.367046454519139
"427",12,2,0.05,0.19974732572557
"428",12,3,0.05,0.0917929179281294
"429",12,4,0.05,0.0358367254370749
"430",12,5,0.05,0.00959718666969166
"431",12,6,0.05,0.00197469084640388
"432",12,7,0.05,0.000292694282249932
"433",12,8,0.05,2.58845283622389e-05
"434",12,9,0.05,1.99111756632607e-06
"435",12,10,0.05,0
"436",12,11,0.05,0
"437",12,12,0.05,0
"438",12,0,0.1,0.0492706334520332
"439",12,1,0.1,0.161419537139105
"440",12,2,0.1,0.265704026531505
"441",12,3,0.1,0.261654486604222
"442",12,4,0.1,0.167607190622213
"443",12,5,0.1,0.0702915890221754
"444",12,6,0.1,0.0198081596998498
"445",12,7,0.1,0.00365198935300334
"446",12,8,0.1,0.000513135724523266
"447",12,9,0.1,6.64434713501265e-05
"448",12,10,0.1,1.28083800193015e-05
"449",12,11,0.1,0
"450",12,12,0.1,0
"451",13,0,0.001,0.97754847386247
"452",13,1,0.001,0.0167852756716327
"453",13,2,0.001,0.00390582417672409
"454",13,3,0.001,0.00150992817284058
"455",13,4,0.001,0.000237253874709033
"456",13,5,0.001,1.31173000106653e-05
"457",13,6,0.001,1.26941613006438e-07
"458",13,7,0.001,0
"459",13,8,0.001,0
"460",13,9,0.001,0
"461",13,10,0.001,0
"462",13,11,0.001,0
"463",13,12,0.001,0
"464",13,13,0.001,0
"465",13,0,0.01,0.766463819931732
"466",13,1,0.01,0.158481724471365
"467",13,2,0.01,0.051551599505856
"468",13,3,0.01,0.0177160914400805
"469",13,4,0.01,0.00491592459269407
"470",13,5,0.01,0.00078744880385685
"471",13,6,0.01,7.7608649181975e-05
"472",13,7,0.01,5.57970680393284e-06
"473",13,8,0.01,2.02898429233922e-07
"474",13,9,0.01,0
"475",13,10,0.01,0
"476",13,11,0.01,0
"477",13,12,0.01,0
"478",13,13,0.01,0
"479",13,0,0.03,0.422861187220648
"480",13,1,0.03,0.288396599432006
"481",13,2,0.03,0.176942398263393
"482",13,3,0.03,0.0804814873783414
"483",13,4,0.03,0.0256902870339021
"484",13,5,0.03,0.00505516318838852
"485",13,6,0.03,0.000540581034596461
"486",13,7,0.03,3.22964487241129e-05
"487",13,8,0.03,0
"488",13,9,0.03,0
"489",13,10,0.03,0
"490",13,11,0.03,0
"491",13,12,0.03,0
"492",13,13,0.03,0
"493",13,0,0.05,0.274436291421005
"494",13,1,0.05,0.296843416638293
"495",13,2,0.05,0.239965959322741
"496",13,3,0.05,0.130173870398658
"497",13,4,0.05,0.0452087497703794
"498",13,5,0.05,0.0110502239332241
"499",13,6,0.05,0.00203648320310391
"500",13,7,0.05,0.000261979748741006
"501",13,8,0.05,2.20022054606704e-05
"502",13,9,0.05,1.02335839351955e-06
"503",13,10,0.05,0
"504",13,11,0.05,0
"505",13,12,0.05,0
"506",13,13,0.05,0
"507",13,0,0.1,0.0404217000454088
"508",13,1,0.1,0.152245898395929
"509",13,2,0.1,0.261853537234432
"510",13,3,0.1,0.264594984124275
"511",13,4,0.1,0.173657824892441
"512",13,5,0.1,0.0775826599752243
"513",13,6,0.1,0.0239935543505033
"514",13,7,0.1,0.00497345156847382
"515",13,8,0.1,0.000639037777043085
"516",13,9,0.1,3.73516362693544e-05
"517",13,10,0.1,0
"518",13,11,0.1,0
"519",13,12,0.1,0
"520",13,13,0.1,0
"521",14,0,0.001,0.973604057513677
"522",14,1,0.001,0.0162173408739041
"523",14,2,0.001,0.00657241732042275
"524",14,3,0.001,0.00279751591551785
"525",14,4,0.001,0.000723126714231218
"526",14,5,0.001,8.46854672655177e-05
"527",14,6,0.001,8.56194981544756e-07
"528",14,7,0.001,0
"529",14,8,0.001,0
"530",14,9,0.001,0
"531",14,10,0.001,0
"532",14,11,0.001,0
"533",14,12,0.001,0
"534",14,13,0.001,0
"535",14,14,0.001,0
"536",14,0,0.01,0.706057773756723
"537",14,1,0.01,0.17593651141804
"538",14,2,0.01,0.0701673767798419
"539",14,3,0.01,0.0333983529244262
"540",14,4,0.01,0.0118626848143815
"541",14,5,0.01,0.0023410349099977
"542",14,6,0.01,0.000227000086919302
"543",14,7,0.01,9.26530967017558e-06
"544",14,8,0.01,0
"545",14,9,0.01,0
"546",14,10,0.01,0
"547",14,11,0.01,0
"548",14,12,0.01,0
"549",14,13,0.01,0
"550",14,14,0.01,0
"551",14,0,0.03,0.34552001419474
"552",14,1,0.03,0.290419442040513
"553",14,2,0.03,0.187198126022106
"554",14,3,0.03,0.111065949496371
"555",14,4,0.03,0.0475584931428153
"556",14,5,0.03,0.014224184361718
"557",14,6,0.03,0.00333820617311191
"558",14,7,0.03,0.000589331194363825
"559",14,8,0.03,7.78286260766386e-05
"560",14,9,0.03,8.42474818355366e-06
"561",14,10,0.03,0
"562",14,11,0.03,0
"563",14,12,0.03,0
"564",14,13,0.03,0
"565",14,14,0.03,0
"566",14,0,0.05,0.299349626288606
"567",14,1,0.05,0.320283283688008
"568",14,2,0.05,0.192118892636406
"569",14,3,0.05,0.117089834809309
"570",14,4,0.05,0.0510139936757944
"571",14,5,0.05,0.0159532683407047
"572",14,6,0.05,0.00359818128399981
"573",14,7,0.05,0.000536640962437107
"574",14,8,0.05,5.4099799325527e-05
"575",14,9,0.05,2.17851540908162e-06
"576",14,10,0.05,0
"577",14,11,0.05,0
"578",14,12,0.05,0
"579",14,13,0.05,0
"580",14,14,0.05,0
"581",14,0,0.1,0.0287345603428299
"582",14,1,0.1,0.12670924275935
"583",14,2,0.1,0.24842962924644
"584",14,3,0.1,0.274779324831147
"585",14,4,0.1,0.191903720875138
"586",14,5,0.1,0.0906351958088865
"587",14,6,0.1,0.0302880559849691
"588",14,7,0.1,0.007190430807136
"589",14,8,0.1,0.00118948690673129
"590",14,9,0.1,0.000133334815503803
"591",14,10,0.1,7.0176218686212e-06
"592",14,11,0.1,0
"593",14,12,0.1,0
"594",14,13,0.1,0
"595",14,14,0.1,0
"596",15,0,0.001,0.972720910409916
"597",15,1,0.001,0.0201590496614492
"598",15,2,0.001,0.00469503566676658
"599",15,3,0.001,0.00186856917542388
"600",15,4,0.001,0.000491603246279993
"601",15,5,0.001,6.39148410104747e-05
"602",15,6,0.001,9.16999153665348e-07
"603",15,7,0.001,0
"604",15,8,0.001,0
"605",15,9,0.001,0
"606",15,10,0.001,0
"607",15,11,0.001,0
"608",15,12,0.001,0
"609",15,13,0.001,0
"610",15,14,0.001,0
"611",15,15,0.001,0
"612",15,0,0.01,0.721609476698492
"613",15,1,0.01,0.191186857455329
"614",15,2,0.01,0.0525471662188533
"615",15,3,0.01,0.025596956610533
"616",15,4,0.01,0.00756600245124044
"617",15,5,0.01,0.00132953150592745
"618",15,6,0.01,0.000147184904476329
"619",15,7,0.01,1.61892813694309e-05
"620",15,8,0.01,6.34873779193369e-07
"621",15,9,0.01,0
"622",15,10,0.01,0
"623",15,11,0.01,0
"624",15,12,0.01,0
"625",15,13,0.01,0
"626",15,14,0.01,0
"627",15,15,0.01,0
"628",15,0,0.03,0.359542123311935
"629",15,1,0.03,0.272649495257167
"630",15,2,0.03,0.195118609163558
"631",15,3,0.03,0.115659505970871
"632",15,4,0.03,0.044393662896661
"633",15,5,0.03,0.0108410819769319
"634",15,6,0.03,0.00164456445285501
"635",15,7,0.03,0.000145484209778355
"636",15,8,0.03,5.47276024244596e-06
"637",15,9,0.03,0
"638",15,10,0.03,0
"639",15,11,0.03,0
"640",15,12,0.03,0
"641",15,13,0.03,0
"642",15,14,0.03,0
"643",15,15,0.03,0
"644",15,0,0.05,0.282043333390765
"645",15,1,0.05,0.297884343611175
"646",15,2,0.05,0.217723687386372
"647",15,3,0.05,0.129234868248453
"648",15,4,0.05,0.0550581784463478
"649",15,5,0.05,0.0151711067278714
"650",15,6,0.05,0.00260040098700769
"651",15,7,0.05,0.000270574964195225
"652",15,8,0.05,1.35062378134056e-05
"653",15,9,0.05,0
"654",15,10,0.05,0
"655",15,11,0.05,0
"656",15,12,0.05,0
"657",15,13,0.05,0
"658",15,14,0.05,0
"659",15,15,0.05,0
"660",15,0,0.1,0.0251574470977929
"661",15,1,0.1,0.106355312352478
"662",15,2,0.1,0.206322387507665
"663",15,3,0.1,0.249275864451501
