pool,pos,above.llod,limit,total.tests,tests.per.sample,tn,tp,fn,fp
7,3,0.15000000000000002,35,7.986,1.1408571428571428,0,0.998,0.002,0
7,3,0.2,35,7.9559,1.1365571428571428,0,0.9937,0.0063,0
7,3,0.25,35,7.916,1.130857142857143,0,0.988,0.012,0
7,3,0.3,35,7.8502,1.121457142857143,0,0.9786,0.0214,0
7,4,0.05,35,7.9979,1.1425571428571428,0,0.9997,3.0000000000000003e-4,0
7,4,0.1,35,7.9986,1.1426571428571428,0,0.9998,2e-4,0
7,4,0.15000000000000002,35,7.9972,1.1424571428571428,0,0.9996,4e-4,0
7,4,0.2,35,7.9874,1.1410571428571428,0,0.9982,0.0018,0
7,4,0.25,35,7.9741,1.1391571428571428,0,0.9963,0.0036999999999999997,0
7,4,0.3,35,7.9559,1.1365571428571428,0,0.9937,0.0063,0
7,5,0.05,35,8,1.1428571428571428,0,1,0,0
7,5,0.1,35,8,1.1428571428571428,0,1,0,0
7,5,0.15000000000000002,35,7.9993,1.1427571428571428,0,0.9999,1e-4,0
7,5,0.2,35,7.9951,1.1421571428571429,0,0.9993,7e-4,0
7,5,0.25,35,7.9923,1.141757142857143,0,0.9989,0.0011,0
7,5,0.3,35,7.9839,1.1405571428571428,0,0.9977,0.0023,0
7,6,0.05,35,7.9993,1.1427571428571428,0,0.9999,1e-4,0
7,6,0.1,35,7.9986,1.1426571428571428,0,0.9998,2e-4,0
7,6,0.15000000000000002,35,7.9972,1.1424571428571428,0,0.9996,4e-4,0
7,6,0.2,35,7.9958,1.1422571428571429,0,0.9994,6.000000000000001e-4,0
7,6,0.25,35,7.9965,1.1423571428571428,0,0.9995,5e-4,0
7,6,0.3,35,7.9909,1.141557142857143,0,0.9987,0.0013,0
7,7,0.05,35,7.9993,1.1427571428571428,0,0.9999,1e-4,0
7,7,0.1,35,7.9993,1.1427571428571428,0,0.9999,1e-4,0
7,7,0.15000000000000002,35,7.9986,1.1426571428571428,0,0.9998,2e-4,0
7,7,0.2,35,7.9986,1.1426571428571428,0,0.9998,2e-4,0
7,7,0.25,35,7.9979,1.1425571428571428,0,0.9997,3e-4,0
7,7,0.3,35,7.9972,1.1424571428571428,0,0.9996,4e-4,0
8,0,0.05,35,1,0.125,1,0,0,0
8,0,0.1,35,1,0.125,1,0,0,0
8,0,0.15000000000000002,35,1,0.125,1,0,0,0
8,0,0.2,35,1,0.125,1,0,0,0
8,0,0.25,35,1,0.125,1,0,0,0
8,0,0.3,35,1,0.125,1,0,0,0
8,1,0.05,35,8.6368,1.0796,0,0.9546,0.0454,0
8,1,0.1,35,8.2656,1.0332,0,0.9082,0.0918,0
8,1,0.15000000000000002,35,7.96,0.995,0,0.87,0.13,0
8,1,0.2,35,7.576,0.947,0,0.822,0.178,0
8,1,0.25,35,7.2024,0.9003,0,0.7753,0.2247,0
8,1,0.3,35,6.9352,0.8669,0,0.7419,0.2581,0
8,2,0.05,35,8.976,1.122,0,0.997,0.003,0
8,2,0.1,35,8.92,1.115,0,0.99,0.01,0
8,2,0.15000000000000002,35,8.8248,1.1031,0,0.9781,0.0219,0
8,2,0.2,35,8.7136,1.0892,0,0.9642,0.0358,0
8,2,0.25,35,8.5712,1.0714,0,0.9464,0.0536,0
8,2,0.3,35,8.4112,1.0514,0,0.9264,0.0736,0
8,3,0.05,35,8.9968,1.1246,0,0.9996,4e-4,0
8,3,0.1,35,8.9896,1.1237,0,0.9987,0.0013,0
8,3,0.15000000000000002,35,8.9688,1.1211,0,0.9961,0.0039,0
8,3,0.2,35,8.9376,1.1172,0,0.9922,0.0078,0
8,3,0.25,35,8.9088,1.1136,0,0.9886,0.0114,0
8,3,0.3,35,8.8032,1.1004,0,0.9754,0.0246,0
8,4,0.05,35,8.9976,1.1247,0,0.9997,3.0000000000000003e-4,0
8,4,0.1,35,8.9968,1.1246,0,0.9996,4e-4,0
8,4,0.15000000000000002,35,8.9896,1.1237,0,0.9987,0.0013,0
8,4,0.2,35,8.984,1.123,0,0.998,0.002,0
8,4,0.25,35,8.9688,1.1211,0,0.9961,0.0039,0
8,4,0.3,35,8.9512,1.1189,0,0.9939,0.0061,0
8,5,0.05,35,8.9984,1.1248,0,0.9998,2e-4,0
8,5,0.1,35,8.9984,1.1248,0,0.9998,2e-4,0
8,5,0.15000000000000002,35,8.9968,1.1246,0,0.9996,4e-4,0
8,5,0.2,35,8.9944,1.1243,0,0.9993,7e-4,0
8,5,0.25,35,8.9872,1.1234,0,0.9984,0.0016,0
8,5,0.3,35,8.9824,1.1228,0,0.9978,0.0022,0
8,6,0.05,35,9,1.125,0,1,0,0
8,6,0.1,35,8.9992,1.1249,0,0.9999,1e-4,0
8,6,0.15000000000000002,35,8.9984,1.1248,0,0.9998,2e-4,0
8,6,0.2,35,8.996,1.1245,0,0.9995,5e-4,0
8,6,0.25,35,8.9952,1.1244,0,0.9994,6.000000000000001e-4,0
8,6,0.3,35,8.992,1.124,0,0.999,0.001,0
8,7,0.05,35,8.9968,1.1246,0,0.9996,4e-4,0
8,7,0.1,35,8.9984,1.1248,0,0.9998,2e-4,0
8,7,0.15000000000000002,35,8.9976,1.1247,0,0.9997,3.0000000000000003e-4,0
8,7,0.2,35,8.9952,1.1244,0,0.9994,6.000000000000001e-4,0
8,7,0.25,35,9,1.125,0,1,0,0
8,7,0.3,35,8.9944,1.1243,0,0.9993,7e-4,0
8,8,0.05,35,8.9984,1.1248,0,0.9998,2e-4,0
8,8,0.1,35,9,1.125,0,1,0,0
8,8,0.15000000000000002,35,9,1.125,0,1,0,0
8,8,0.2,35,8.9984,1.1248,0,0.9998,2e-4,0
8,8,0.25,35,8.9984,1.1248,0,0.9998,2e-4,0
8,8,0.3,35,8.9944,1.1243,0,0.9993,7e-4,0
9,0,0.05,35,1,0.1111111111111111,1,0,0,0
9,0,0.1,35,1,0.1111111111111111,1,0,0,0
9,0,0.15000000000000002,35,1,0.1111111111111111,1,0,0,0
