"","pool","prevalence","above.llod","limit","tau","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"412",17,0.03,0.15,35,0.2,2.02375948909086,2.02375948909086,7.8126568867964,15.0582641931627,0.459568052164494,0.885780246656631,0.595826043858806,0.40074452275273,0.00342943338846608,0,0.991514957021951,0.935403035832368,0.115935393015911,0.826956717244866,0.0571078897392225,0,0.991514957021951,0.989516713024188,0.99321840090916
"413",17,0.03,0.15,35,0.3,2.73081635409588,2.73081635409589,7.85894989571552,16.4907765031315,0.462291170336207,0.970045676654793,0.595826043858805,0.403467640924443,0.000706315216752079,0,0.998252447477083,0.960142454465394,0.0509510927205125,0.911222147243027,0.0378267600364603,0,0.998252447477083,0.997221045637882,0.998973083943653
"414",17,0.03,0.15,35,0.4,3.40648505383043,3.40648505383043,7.86799879885153,17.1950488753047,0.462823458755972,1.01147346325322,0.595826043858805,0.403999929344208,0.000174026796986843,0,0.999569426000012,0.974414609372917,0.0223361547765281,0.952649933841454,0.0250139113820183,0,0.999569426000012,0.99893212231093,0.999875247883996
"415",17,0.03,0.15,35,0.5,4.05206997667173,4.05206997667173,7.87006728725642,17.5711485113674,0.462945134544495,1.03359697125691,0.595826043858805,0.404121605132731,5.23510084644046e-05,0,0.99987047406774,0.9843882494613,0.00976729214455571,0.974773441845144,0.0154592660103005,0,0.99987047406774,0.999392596035675,0.999993293099803
"416",17,0.05,0.15,35,0.1,2.09466234781608,2.09466234781608,10.5904904304169,15.2402354738072,0.622970025318643,0.89648443963572,0.418120335219177,0.564146495906878,0.0177331688739442,0,0.969524336478361,0.937977218958214,0.106949621703687,0.837660910223957,0.0553894680723568,0,0.969524336478362,0.965965576274815,0.97280603962022
"417",17,0.05,0.15,35,0.2,3.24895699681776,3.24895699681776,10.8242851564824,17.0724823755094,0.636722656263668,1.00426366914761,0.418120335219178,0.577899126851903,0.00398053792891962,0,0.993159173331106,0.971844209515668,0.0271690354496024,0.945440139735846,0.027390824814552,0,0.993159173331106,0.991341655030857,0.994679762585159
"418",17,0.05,0.15,35,0.3,4.31903760601871,4.31903760601871,10.8752582757345,17.66773566652,0.639721075043206,1.03927856861882,0.418120335219177,0.580897545631441,0.000982119149381405,0,0.998312161072425,0.987221641514417,0.00685418757329959,0.980455039207057,0.0126907732196437,0,0.998312161072425,0.997294505398972,0.999018643518478
"419",17,0.05,0.15,35,0.4,5.3106668124312,5.31066681243119,10.8885688759751,17.8795824311095,0.640504051527948,1.05174014300644,0.418120335219178,0.581680522116183,0.000199142664639644,0,0.999657759710997,0.994624476558981,0.00171709323925979,0.992916613594679,0.0053662931660613,0,0.999657759710997,0.999060593048753,0.999919143552693
"420",17,0.05,0.15,35,0.5,6.22923927993907,6.22923927993907,10.8901936685789,17.9539358365595,0.640599627563465,1.0561138727388,0.418120335219178,0.581776098151701,0.000103566629122069,0,0.999822013664696,0.997716494719791,0.000427126738920651,0.997290343327034,0.00228252993404575,0,0.999822013664696,0.999312924913802,0.999982242370846
"421",17,0.1,0.15,35,0.1,3.9726961022484,3.97269610224841,14.90303724516,17.534747158792,0.876649249715292,1.03145571522306,0.166771816996666,0.817825720303527,0.0154024626998072,0,0.981514712279307,0.983287744296809,0.0108366635782062,0.972632185811291,0.0165311506105025,0,0.981514712279307,0.978680015579832,0.984063791979882
"422",17,0.1,0.15,35,0.2,5.92589487493481,5.92589487493483,15.1057639506919,17.9395945971345,0.888574350040698,1.05527027041968,0.166771816996666,0.829750820628933,0.00347736237440087,0,0.995826638554319,0.997129656369568,0.000684881206062211,0.996446741007913,0.00286837778602511,0,0.995826638554319,0.994357616235991,0.996993998044829
"423",17,0.1,0.15,35,0.3,7.60191910202091,7.60191910202091,15.1509445941733,17.9896684940415,0.891232034951372,1.05821579376715,0.166771816996666,0.832408505539607,0.000819677463727497,0,0.999016262915192,0.999434316547337,4.2075993649195e-05,0.999392264355381,0.000565659650969896,0,0.999016262915192,0.998182855072267,0.999531536466586
"424",17,0.1,0.15,35,0.4,9.03783525260298,9.03783525260298,15.1606534443876,17.9959472315086,0.891803143787504,1.05858513126521,0.166771816996666,0.832979614375739,0.000248568627595273,0,0.999701680004751,0.999764112557886,2.5112968230062e-06,0.999761601853446,0.000235886849730851,0,0.999701680004751,0.999126051861056,0.999938851548919
