"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"35",2,0.001,0.25,35,0.00304847499999996,0.002,1.003656480845,1.0034025402,0.5018282404225,0.5017012701,0.998001,0.00182824042249997,0.000170759577499998,0,0.9145775,0.851060580290145,0.998001,0.0017012701,0.0002977299,0,0.9145775,0.908927692227571,0.91998446772814
"36",2,0.001,0.3,35,0.00302648599999996,0.002,1.0035546929644,1.003251469,0.5017773464822,0.5016257345,0.998001,0.00177734648219998,0.000221653517799997,0,0.8891178,0.813273886943472,0.998001,0.0016257345,0.0003732655,0,0.8891178,0.882800114278961,0.895207855342045
"37",2,0.01,0.05,35,0.0294918,0.02,1.03928630936,1.03885728,0.51964315468,0.51942864,0.9801,0.01964315468,0.00025684532,0,0.9870932,0.976313567839196,0.9801,0.01942864,0.00047136,0,0.9870932,0.984683419585319,0.989212719613299
"38",2,0.01,0.1,35,0.0304669,0.02,1.0387807817,1.03780736,0.51939039085,0.51890368,0.9801,0.01939039085,0.000509609150000001,0,0.9743915,0.949933668341709,0.9801,0.01890368,0.00099632,0,0.9743915,0.971103837206891,0.97739876577318
"39",2,0.01,0.15,35,0.0298699,0.02,1.03821065864,1.03689204,0.51910532932,0.51844602,0.9801,0.01910532932,0.000794670680000001,0,0.9600668,0.92693567839196,0.9801,0.01844602,0.00145398,0,0.9600668,0.956042826758856,0.96381992670439
"40",2,0.01,0.2,35,0.0299495,0.02,1.0374438201,1.0356549,0.51872191005,0.51782745,0.9801,0.01872191005,0.00117808995,0,0.9407995,0.89585175879397,0.9801,0.01782745,0.00207255,0,0.9407995,0.935994139242357,0.945346097952497
"41",2,0.01,0.25,35,0.0301286,0.02,1.0364019556,1.03391032,0.5182009778,0.51695516,0.9801,0.0182009778,0.0016990222,0,0.914622,0.852018090452261,0.9801,0.01695516,0.00294484,0,0.914622,0.908973472219803,0.920027660990443
"42",2,0.01,0.3,35,0.030049,0.02,1.0354861178,1.0325498,0.5177430589,0.5162749,0.9801,0.0177430589,0.0021569411,0,0.891611,0.817834170854271,0.9801,0.0162749,0.0036251,0,0.891611,0.885353606872887,0.897639279987771
"43",2,0.05,0.05,35,0.1482975,0.1,1.1929056025,1.191022,0.59645280125,0.595511,0.9025,0.09645280125,0.00104719875,0,0.9892595,0.9796,0.9025,0.095511,0.001989,0,0.9892595,0.987040343576428,0.991186321783693
"44",2,0.05,0.1,35,0.15054,0.1,1.19033794,1.1859915,0.59516897,0.59299575,0.9025,0.09516897,0.00233103,0,0.976092,0.953802564102564,0.9025,0.09299575,0.00450425,0,0.976092,0.972905599491752,0.978996801274548
"45",2,0.05,0.15,35,0.148785,0.1,1.187820022,1.181517,0.593910011,0.5907585,0.9025,0.0939100110000001,0.003589989,0,0.9631796,0.93085641025641,0.9025,0.0907585,0.0067415,0,0.9631796,0.959301166209982,0.966785173458641
"46",2,0.05,0.2,35,0.1514175,0.1,1.1847015625,1.1757035,0.59235078125,0.58785175,0.9025,0.09235078125,0.00514921875,0,0.9471875,0.90104358974359,0.9025,0.08785175,0.00964825,0,0.9471875,0.942621915159496,0.951490369873399
"47",2,0.05,0.25,35,0.14859,0.1,1.17877756,1.1674075,0.58938878,0.58370375,0.9025,0.08938878,0.00811122,0,0.916808,0.8585,0.9025,0.08370375,0.01379625,0,0.916808,0.911222902978064,0.922148915520236
"48",2,0.05,0.3,35,0.1488825,0.1,1.1743906255,1.1600485,0.58719531275,0.58002425,0.9025,0.08719531275,0.01030468725,0,0.8943109,0.820761538461538,0.9025,0.08002425,0.01747575,0,0.8943109,0.888119941245276,0.900271138549552
"49",2,0.1,0.05,35,0.29887,0.2,1.376066924,1.371598,0.688033462,0.685799,0.81,0.188033462,0.001966538,0,0.9896498,0.97788947368421,0.81,0.185799,0.004201,0,0.9896498,0.987467036473379,0.991539829135546
"50",2,0.1,0.1,35,0.29165,0.2,1.37036149,1.362058,0.685180745,0.681029,0.81,0.185180745,0.004819255,0,0.9746355,0.952784210526316,0.81,0.181029,0.00897099999999999,0,0.9746355,0.971362138755446,0.977628293030841
"51",2,0.1,0.15,35,0.29526,0.2,1.365859592,1.353552,0.682929796,0.676776,0.81,0.182929796,0.007070204,0,0.9627884,0.9304,0.81,0.176776,0.013224,0,0.9627884,0.958891303219948,0.966412890919931
"52",2,0.1,0.2,35,0.29222,0.2,1.357817804,1.340462,0.678908902,0.670231,0.81,0.178908902,0.011091098,0,0.9416258,0.895952631578947,0.81,0.170231,0.019769,0,0.9416258,0.936850547623512,0.946141780573882
"53",2,0.1,0.25,35,0.30153,0.2,1.350464424,1.326016,0.675232212,0.663008,0.81,0.175232212,0.014767788,0,0.9222748,0.857936842105263,0.81,0.163008,0.026992,0,0.9222748,0.916853282475036,0.927448840016595
"54",2,0.1,0.3,35,0.28785,0.2,1.33854941,1.311966,0.669274705,0.655983,0.81,0.169274705,0.020725295,0,0.8909195,0.820963157894737,0.81,0.155983,0.034017,0,0.8909195,0.884645284263867,0.896965013966087
"55",2,0.15,0.05,35,0.43956,0.3,1.549499728,1.543387,0.774749864,0.7716935,0.7225,0.274749864,0.002750136,0,0.9900896,0.979075675675676,0.7225,0.2716935,0.0058065,0,0.9900896,0.987948700083256,0.991937303187696
"56",2,0.15,0.1,35,0.43845,0.3,1.54193308,1.5285865,0.77096654,0.76429325,0.7225,0.27096654,0.00653346,0,0.976456,0.952408108108108,0.7225,0.26429325,0.01320675,0,0.976456,0.973291775622426,0.979338364862456
"57",2,0.15,0.15,35,0.43512,0.3,1.535398288,1.518184,0.767699144,0.759092,0.7225,0.267699144,0.009800856,0,0.9646816,0.933664864864865,0.7225,0.259092,0.018408,0,0.9646816,0.960875877267614,0.968213481263328
"58",2,0.15,0.2,35,0.4459425,0.3,1.529371987,1.5042115,0.7646859935,0.75210575,0.7225,0.2646859935,0.0128140065,0,0.9538234,0.908489189189189,0.7225,0.25210575,0.02539425,0,0.9538234,0.949525903686221,0.957854025194707
"59",2,0.15,0.25,35,0.4359525,0.3,1.510990054,1.4765125,0.755495027,0.73825625,0.7225,0.255495027,0.022004973,0,0.9207028,0.858581081081081,0.7225,0.23825625,0.03924375,0,0.9207028,0.915233495131137,0.925925576406921
"60",2,0.15,0.3,35,0.434565,0.3,1.495778392,1.4558395,0.747889196,0.72791975,0.7225,0.247889196,0.029610804,0,0.8932944,0.821332432432432,0.7225,0.22791975,0.04958025,0,0.8932944,0.887078287103933,0.899280397917217
"61",3,0.001,0.05,35,0.005919076975,0.003,1.00891689285957,1.0087305112522,0.336305630953191,0.336243503750734,0.997002999,0.0029722976198573,2.47033801427e-05,0,0.9917573,0.971027509633797,0.997002999,0.0029101704174,8.68305826e-05,0,0.9917573,0.989784497496027,0.993435010535313
"62",3,0.001,0.1,35,0.005999996002,0.003,1.00882900670435,1.008432277081,0.336276335568116,0.336144092360334,0.997002999000001,0.0029430022347824,5.39987652176e-05,0,0.9819824,0.937857220267861,0.997002999,0.002810759027,0.000186241973,0,0.9819824,0.97918047552892,0.984498343407235
"63",3,0.001,0.15,35,0.005871124959,0.003,1.00875637198751,1.0082265692959,0.336252123995837,0.336075523098634,0.997002999,0.0029187906625038,7.82103374962e-05,0,0.9739038,0.914977928035393,0.997002999,0.0027421897653,0.0002548112347,0,0.9739038,0.970587771435089,0.976939772499515
"64",3,0.001,0.2,35,0.005916079974,0.003,1.00864158565041,1.0079372712772,0.33621386188347,0.335979090425734,0.997002999,0.002880528550137,0.000116472449863,0,0.961137,0.882801538070891,0.997002999,0.0026457570924,0.0003512439076,0,0.961137,0.957162315288958,0.964840148569604
"65",3,0.001,0.25,35,0.005979016995,0.003,1.00842540957068,1.0074574755313,0.336141803190227,0.335819158510434,0.997002999,0.0028084698568934,0.0001885311431066,0,0.9370934,0.829437553440923,0.997002999,0.0024858251771,0.0005111758229,0,0.9370934,0.932156053929984,0.941774259171671
"66",3,0.001,0.3,35,0.005970025992,0.003,1.00826292776087,1.0071465559579,0.336087642586955,0.335715518652634,0.997002999,0.0027543092536218,0.0002426917463782,0,0.9190218,0.794856364512391,0.997002999,0.0023821853193,0.0006148156807,0,0.9190218,0.913502071989891,0.924296013243241
"67",3,0.01,0.05,35,0.0591940929999999,0.03,1.0883723643103,1.0864558387,0.362790788103433,0.362151946233333,0.970299,0.0294574547701,0.0002435452299,0,0.9918001,0.97029099693613,0.970299,0.0288186129,0.0008823871,0,0.9918001,0.989831830097947,0.993473225708761
"68",3,0.01,0.1,35,0.061005854,0.03,1.0876002422638,1.0835591062,0.362533414087934,0.361186368733333,0.970299,0.0292000807546,0.0005009192454,0,0.9831346,0.937781064610619,0.970299,0.0278530354,0.0018479646,0,0.9831346,0.980415381088877,0.985566925044305
